02-21 00:15:58 [INFO] zhenxun | 加载配置完成，共加载 43 个配置组及对应 127 个配置项
  File "C:\Users\Administrator\AppData\Local\pypoetry\Cache\virtualenvs\zhenxun-bot-k9jvl_fX-py3.10\lib\site-packages\tortoise\backends\base\client.py", line 328, in __aenter__
    self.connection = await self.pool.acquire()
    │    │                  │    │    └ <function Pool.acquire at 0x000001555E6F36D0>
    │    │                  │    └ <asyncpg.pool.Pool object at 0x00000155587ED170>
    │    │                  └ <tortoise.backends.base.client.PoolConnectionWrapper object at 0x000001555FADBF40>
    │    └ None
    └ <tortoise.backends.base.client.PoolConnectionWrapper object at 0x000001555FADBF40>

  File "C:\Users\Administrator\AppData\Local\pypoetry\Cache\virtualenvs\zhenxun-bot-k9jvl_fX-py3.10\lib\site-packages\asyncpg\pool.py", line 817, in _acquire
    raise exceptions.InterfaceError('pool is closing')
          │          └ <class 'asyncpg.exceptions._base.InterfaceError'>
          └ <module 'asyncpg.exceptions' from 'C:\\Users\\Administrator\\AppData\\Local\\pypoetry\\Cache\\virtualenvs\\zhenxun-bot-k9jvl_...

asyncpg.exceptions._base.InterfaceError: pool is closing
02-21 10:08:30 [INFO] nonebot_plugin_apscheduler | Scheduler Shutdown
02-21 10:08:30 [INFO] nonebot_plugin_htmlrender | Browser Stopped.
02-21 10:08:30 [INFO] uvicorn | Application shutdown complete.
02-21 10:08:30 [INFO] uvicorn | Finished server process [6812]
